ISO,USD,EUR,GBP,CAD,CHF,JPY,AUD,HKD,NZD,SEK,KRW,SGD,NOK,MXN,MUX,
USD,1.0,1.1013215859030836,1.2903225806451613,0.7518796992481203,1.0030090270812437,0.009171619341110868,0.6775067750677507,0.1278772378516624,0.6451612903225806,0.10372368011617052,8.529366609235598E-4,0.7326007326007326,0.10893246187363835,0.05144032921810699,0.998003992015968,
EUR,0.908,1.0,1.1716129032258065,0.6827067669172933,0.9107321965897693,0.00832783036172867,0.6151761517615177,0.11611253196930948,0.5858064516129032,0.09418110154548284,7.744664881185923E-4,0.6652014652014652,0.09891067538126364,0.04670781893004115,0.9061876247504991,
GBP,0.775,0.8535242290748898,1.0,0.5827067669172932,0.7773319959879639,0.007108004989360922,0.5250677506775068,0.09910485933503838,0.5,0.08038585209003216,6.610259122157589E-4,0.5677655677655677,0.08442265795206973,0.03986625514403292,0.7734530938123753,
CAD,1.33,1.4647577092511013,1.7161290322580645,1.0,1.3340020060180542,0.012198253723677454,0.9010840108401085,0.170076726342711,0.8580645161290322,0.13795249455450678,0.0011344057590283345,0.9743589743589743,0.144880174291939,0.0684156378600823,1.3273453093812375,
CHF,0.997,1.0980176211453743,1.2864516129032257,0.7496240601503759,1.0,0.009144104483087535,0.6754742547425474,0.12749360613810742,0.6432258064516129,0.103412509075822,8.503778509407891E-4,0.7304029304029304,0.10860566448801744,0.05128600823045267,0.9950099800399201,
JPY,109.032,120.07929515418499,140.6864516129032,81.97894736842103,109.36008024072216,1.0,73.86991869918698,13.942710997442454,70.3432258064516,11.309200290426302,0.09299739001381756,79.87692307692306,11.877124183006535,5.6086419753086405,108.814371257485,
AUD,1.476,1.6255506607929513,1.9045161290322579,1.1097744360902255,1.4804413239719156,0.01353731014747964,1.0,0.18874680306905373,0.9522580645161289,0.1530961518514677,0.0012589345115231743,1.0813186813186813,0.1607843137254902,0.07592592592592591,1.4730538922155687,
HKD,7.82,8.612334801762113,10.09032258064516,5.8796992481203,7.843530591775325,0.07172206324748698,5.29810298102981,1.0,5.04516129032258,0.8111191785084534,0.006669964688422237,5.728937728937728,0.8518518518518519,0.4022633744855966,7.804391217564869,
NZD,1.55,1.7070484581497796,2.0,1.1654135338345863,1.5546639919759278,0.014216009978721845,1.0501355013550135,0.19820971867007675,1.0,0.1607717041800643,0.0013220518244315177,1.1355311355311355,0.16884531590413945,0.07973251028806584,1.5469061876247505,
SEK,9.641,10.61784140969163,12.44,7.248872180451127,9.670010030090271,0.08842358206764989,6.531842818428185,1.2328644501278774,6.22,1.0,0.00822316234796404,7.063003663003663,1.0502178649237475,0.4959362139917695,9.621756487025948,
KRW,1172.42,1291.2114537444934,1512.8,881.5187969924812,1175.9478435305919,10.752989947905204,794.3224932249323,149.92583120204606,756.4,121.60771704180064,1.0,858.9157509157509,127.71459694989107,60.309670781893,1170.0798403193612,
SGD,1.365,1.503303964757709,1.7612903225806453,1.0263157894736843,1.3691073219658978,0.012519260400616334,0.9247967479674798,0.17455242966751922,0.8806451612903227,0.14158282335857275,0.0011642585421606593,1.0,0.14869281045751637,0.07021604938271604,1.3622754491017963,
NOK,9.18,10.110132158590307,11.84516129032258,6.902255639097744,9.207622868605817,0.08419546555139776,6.219512195121951,1.173913043478261,5.92258064516129,0.9521833834664453,0.007829958547278278,6.7252747252747245,1.0,0.47222222222222215,9.161676646706585,
MXN,19.44,21.409691629955947,25.083870967741937,14.61654135338346,19.49849548645938,0.1782962799911953,13.170731707317074,2.4859335038363177,12.541935483870969,2.016388341458355,0.016581088688354003,14.241758241758243,2.11764705882353,1.0,19.40119760479042,
MUX,1.002,1.10352422907489,1.2929032258064517,0.7533834586466165,1.0050150451354063,0.00918996257979309,0.6788617886178863,0.12813299232736575,0.6464516129032258,0.10393112747640286,8.54642534245407E-4,0.734065934065934,0.10915032679738564,0.051543209876543206,1.0,
